# EIA international shipping data converted to EJ, aggregated by country, 
# adding USSR data to Russia
Country,year,value,iso,GCAM_region_ID
Burkina Faso,1988,0,bfa,5
Burma (Myanmar),1988,0,mmr,29
Burundi,1988,0,bdi,2
Cambodia,1988,0,khm,29
Cameroon,1988,0.0022011453418230567,cmr,5
Canada,1988,0.023910339380600443,can,8
Cape Verde,1988,2.001041219839142e-4,cpv,5
Cayman Islands,1988,6.003123659517426e-4,cym,9
Central African Republic,1988,4.002082439678284e-4,caf,5
Chad,1988,8.004164879356568e-4,tcd,5
Chile,1988,0,chl,26
China,1988,0,chn,11
Colombia,1988,0.0058270560687027515,col,32
Comoros,1988,0,com,2
Congo (Brazzaville),1988,4.242447751370674e-4,cog,5
Congo (Kinshasa),1988,0.005747134602565032,cod,5
Cook Islands,1988,0,cok,29
Costa Rica,1988,0.004034531756756756,cri,9
Cote dIvoire (IvoryCoast),1988,0.0030015618297587134,civ,5
Croatia,1988,0,hrv,15
Cuba,1988,0.008636926562386783,cub,9
Cyprus,1988,0.002369401060007729,cyp,12
Czech Republic,1988,0,cze,12
Denmark,1988,0.03690208447757409,dnk,13
Djibouti,1988,0.0036180988542496915,dji,2
Dominica,1988,0,dma,9
Dominican Republic,1988,0,dom,9
Ecuador,1988,0.010982892004504504,ecu,26
Egypt,1988,0.07428489957853296,egy,3
El Salvador,1988,0.002017265878378378,slv,9
Equatorial Guinea,1988,0,gnq,5
Eritrea,1988,0,eri,2
Estonia,1988,0,est,12
Ethiopia,1988,0.0024012494638069705,eth,2
Falkland Islands (Islas Malvinas),1988,4.0771184808558566e-5,flk,13
Faroe Islands,1988,0,fro,13
Fiji,1988,0.004002082439678284,fji,29
Finland,1988,0.018819402078955633,fin,13
Former Czechoslovakia,1988,0,cze,12
Former Serbia and Montenegro,1988,0,scg,15
Russia,1988,0.20396799436936935,rus,23
France,1988,0.09693933020554066,fra,13
French Guiana,1988,4.8645312054289546e-5,guf,25
French Polynesia,1988,0.0034148916160918297,pyf,29
Gabon,1988,0.003994270567048282,gab,5
"Gambia, The",1988,0,gmb,5
Georgia,1988,0,geo,10
Germany,1988,0,deu,13
"Germany, East",1988,0.023694010600077288,deu,13
"Germany, West",1988,0.09421719305062436,deu,13
Ghana,1988,0.0018009370978552281,gha,5
Gibraltar,1988,0.018963621265971065,gib,13
Greece,1988,0.08525156692449821,grc,13
Greenland,1988,0,grl,13
Grenada,1988,4.8645312054289546e-5,grd,9
Guadeloupe,1988,1.94621269041555e-4,glp,9
Guam,1988,0.001000520609919571,gum,29
Guatemala,1988,0.005002603049597856,gtm,9
Guinea,1988,6.003123659517426e-4,gin,5
Guinea-Bissau,1988,2.001041219839142e-4,gnb,5
Guyana,1988,2.1322566434920178e-4,guy,25
Haiti,1988,8.004164879356568e-4,hti,9
Hawaiian Trade Zone,1988,0,usa,1
Honduras,1988,0,hnd,9
Hong Kong,1988,0.10966066432686036,hkg,11
Hungary,1988,0,hun,12
Iceland,1988,0,isl,16
India,1988,0.045248769926092315,ind,17
Indonesia,1988,0.015376769902241384,idn,18
Iran,1988,0.06131719101272855,irn,21
Iraq,1988,0.006452005879102964,irq,21
Ireland,1988,8.484895502741348e-4,irl,13
